,id,cohort,gender,yr,career,stem,medicine,social science,time,weight
0,1001,(1) Older,(2) Male,F7,,,,,0,0.0
1,1002,(2) Younger,(2) Male,F7,(18) OTHER PROFESSIONALS,0.0,0.0,0.0,0,0.9576
2,1003,(1) Older,(1) Female,F7,,,,,0,0.0
3,1006,(2) Younger,(2) Male,F7,(51) LABORS,0.0,0.0,0.0,0,2.4929
4,1012,(2) Younger,(1) Female,F7,(15) HEALTH PROFESSIONALS I,0.0,1.0,0.0,0,1.0043
5,1013,(1) Older,(1) Female,F7,,,,,0,0.0
6,1018,(1) Older,(1) Female,F7,,,,,0,0.0
7,1022,(1) Older,(2) Male,F7,,,,,0,0.0
8,1029,(2) Younger,(1) Female,F7,(15) HEALTH PROFESSIONALS I,0.0,1.0,0.0,0,2.2575
9,1032,(2) Younger,(1) Female,F7,(17) LAW AND RELATED,0.0,0.0,0.0,0,0.6385
10,1034,(2) Younger,(1) Female,F7,(32) CLERICAL,0.0,0.0,0.0,0,1.2827
11,1035,(1) Older,(1) Female,F7,,,,,0,0.0
12,1036,(2) Younger,(1) Female,F7,(43) PROTECTIVE SERVICES,0.0,0.0,0.0,0,1.3473
13,1040,(2) Younger,(2) Male,F7,,,,,0,0.4847
14,1041,(2) Younger,(2) Male,F7,(43) PROTECTIVE SERVICES,0.0,0.0,0.0,0,0.6803
15,1044,(2) Younger,(2) Male,F7,(43) PROTECTIVE SERVICES,0.0,0.0,0.0,0,2.4929
16,1049,(1) Older,(1) Female,F7,,,,,0,0.0
17,1051,(1) Older,(1) Female,F7,,,,,0,0.0
18,1053,(1) Older,(1) Female,F7,,,,,0,0.0
19,1054,(2) Younger,(1) Female,F7,(15) HEALTH PROFESSIONALS I,0.0,1.0,0.0,0,0.6803
20,1055,(1) Older,(2) Male,F7,,,,,0,0.0
21,1058,(1) Older,(2) Male,F7,,,,,0,0.0
22,1065,(2) Younger,(1) Female,F7,(52) SERVICE,0.0,0.0,0.0,0,2.1525
23,1067,(2) Younger,(1) Female,F7,(18) OTHER PROFESSIONALS,0.0,0.0,0.0,0,1.7139
24,1069,(1) Older,(2) Male,F7,,,,,0,0.0
25,1070,(1) Older,(2) Male,F7,,,,,0,0.0
26,1071,(2) Younger,(1) Female,F7,(32) CLERICAL,0.0,0.0,0.0,0,0.1962
27,1083,(1) Older,(1) Female,F7,,,,,0,0.0
28,1085,(1) Older,(1) Female,F7,,,,,0,0.0
29,1087,(2) Younger,(1) Female,F7,(15) HEALTH PROFESSIONALS I,0.0,1.0,0.0,0,0.6391
30,1088,(1) Older,(2) Male,F7,,,,,0,0.0
31,1089,(2) Younger,(1) Female,F7,(25) TEACHERS (EXCEPT COLLEGE),0.0,0.0,0.0,0,0.7249
32,1091,(2) Younger,(2) Male,F7,(43) PROTECTIVE SERVICES,0.0,0.0,0.0,0,1.5915
33,1093,(1) Older,(1) Female,F7,,,,,0,0.0
34,1094,(2) Younger,(1) Female,F7,(21) HEALTH PROFESSIONALS II,0.0,1.0,0.0,0,1.0399
35,1095,(2) Younger,(2) Male,F7,(18) OTHER PROFESSIONALS,0.0,0.0,0.0,0,0.1962
36,1096,(1) Older,(1) Female,F7,,,,,0,0.0
37,1101,(1) Older,(2) Male,F7,,,,,0,0.0
38,1102,(1) Older,(2) Male,F7,,,,,0,0.0
39,1106,(1) Older,(2) Male,F7,,,,,0,0.0
40,1107,(1) Older,(1) Female,F7,,,,,0,0.0
41,1108,(2) Younger,(1) Female,F7,(18) OTHER PROFESSIONALS,0.0,0.0,0.0,0,0.7809999999999999
42,1111,(1) Older,(2) Male,F7,,,,,0,0.0
43,1116,(2) Younger,(2) Male,F7,(16) OTHER SCIENTIFIC/TECHNICAL PROFESSSIONALS,1.0,0.0,0.0,0,0.6993
44,1127,(2) Younger,(2) Male,F7,(43) PROTECTIVE SERVICES,0.0,0.0,0.0,0,0.5987
45,1130,(1) Older,(1) Female,F7,,,,,0,0.0
46,1133,(1) Older,(2) Male,F7,,,,,0,0.0
47,1135,(2) Younger,(2) Male,F7,(11) SCIENTISTS,1.0,0.0,0.0,0,0.4253
48,1136,(1) Older,(2) Male,F7,,,,,0,0.0
49,1138,(2) Younger,(2) Male,F7,(32) CLERICAL,0.0,0.0,0.0,0,0.6289
